,count_m,cvol_s_p,cvol_s_m,cvol_t_p,cvol_t_m,cvol_m,dxy_200_p,dxy_200_m,prc_std,prc_std_1000,std_std_prc
109,3.497813833,0.70061376,0.759618184,97.64923818,-152.1854519,0.05,-4.788591173,27.19077105,0.175,0.225,0.247
110,3.390392533,0.608760631,0.65829681,94.51533441,-128.0144734,0.05,-56.62967372,-19.29372198,0.175,0.225,0.247
111,3.242558583,0.557284827,0.6309890979999999,82.21226289,-114.751918,0.05,-42.86565201,-6.311837553999999,0.175,0.225,0.247
112,3.168046904,0.52234803,0.566757032,76.92628608,-101.7121759,0.05,22.20816271,-2.274921988,0.175,0.225,0.247
113,3.95815201,0.883320078,0.927150242,78.53522257,-69.74301427,0.05,-29.55794278,64.92591368,0.175,0.225,0.247
114,3.83413957,0.7525548740000001,0.804544244,88.52861825,-71.22032861,0.05,6.893341041,60.12560774,0.175,0.225,0.247
115,3.5672682860000005,0.7129409870000001,0.618615979,84.71688741,-81.87631797,0.05,0.533154185,45.94648479,0.175,0.225,0.247
116,3.3727139060000004,0.63720881,0.557830777,75.90110213,-76.12842502,0.05,-8.16070823,26.52167918,0.175,0.225,0.247
117,3.258637724,0.710796021,0.6921808909999999,81.08539381,-121.55653390000002,0.05,3.848478642,2.187704767,0.175,0.225,0.247
118,3.668353183,0.843903118,0.8832374359999999,75.2619306,-66.44545873,0.05,-56.67175322,26.81802488,0.175,0.225,0.247
119,3.334410924,0.58278307,0.685598521,46.64476969,-49.39144807,0.05,-32.34459639,56.31735641,0.175,0.225,0.247
120,3.305698445,0.505583746,0.612056951,95.60004025,-41.16600081,0.05,-23.09531269,52.72260396,0.175,0.225,0.247
121,3.238422839,0.4746903,0.546094677,96.58224362,-43.47969442,0.05,-20.30335691,42.21845413,0.175,0.225,0.247
122,3.275998057,0.740143543,0.803381259,108.6939601,-70.61142602,0.05,-6.858294231,84.79096662,0.175,0.225,0.247
123,3.040510959,0.626132595,0.773291902,86.85329623,-62.18089445,0.05,0.574223102,90.25470292,0.175,0.225,0.247
124,2.983618532,0.529937577,0.7317228440000001,92.65768284,-55.87485905,0.05,20.05506829,97.56445313,0.175,0.225,0.247
125,2.97936636,0.496608935,0.657204867,85.77863628,-53.5986094,0.05,9.009256004,72.34689338,0.175,0.225,0.247
126,3.420999419,0.923932139,0.767256745,77.04289655,-37.13777834,0.05,57.13058927,0.881071101,0.175,0.225,0.247
127,3.282210253,0.6713280509999999,0.714700432,66.66946166,-27.69291231,0.05,13.28621777,-5.825914222000001,0.175,0.225,0.247
128,3.243879164,0.631083769,0.626883774,72.98112945,-23.37525579,0.05,13.6315858,2.503148765,0.175,0.225,0.247
129,3.249982014,0.611302071,0.61143375,107.6720962,-28.4262939,0.05,14.27720131,2.833257479,0.175,0.225,0.247
130,2.7084235660000004,0.768201152,0.736442092,76.13933348,-60.79421832,0.05,-36.6825677,8.071719396,0.175,0.225,0.247
131,3.430890513,0.829860455,0.914488364,66.97242894,-119.7644066,0.05,-2.3519041830000003,34.92499993,0.175,0.225,0.247
132,3.189557342,0.672221533,0.840979985,134.66969740000002,-99.92974486,0.05,12.55750444,58.50689649,0.175,0.225,0.247
133,3.14001871,0.647021817,0.742201542,144.4483836,-95.01204828,0.05,18.83336359,78.82612899,0.175,0.225,0.247
134,3.019627021,0.597060545,0.6966978140000001,134.6924715,-93.81877683,0.05,28.145213800000004,86.79249326,0.175,0.225,0.247
135,2.958235859,0.5835763039999999,0.6692932220000001,121.9312406,-103.7985476,0.05,25.71116866,82.4932084,0.175,0.225,0.247
136,3.568105226,0.798806618,0.8567230579999999,77.85601143,-115.3667369,0.05,18.12823421,2.132574531,0.175,0.225,0.247
137,2.930300064,0.580912611,0.548481685,83.08180682,-41.82925141,0.05,-29.95004682,8.481476661,0.175,0.225,0.247
138,2.795218986,0.556069048,0.474144623,92.41464395,-30.4284391,0.05,-27.12091925,6.256072808,0.175,0.225,0.247
139,3.091364103,0.8100847459999999,0.758049855,89.31428047,-71.26522991,0.05,-22.40765428,28.02450595,0.175,0.225,0.247
140,2.90457405,0.711548159,0.585233025,63.54008016,-63.59427368,0.05,-48.72101557,7.876468107999999,0.175,0.225,0.247
141,2.74620613,0.554954424,0.518264744,43.74413906,-111.0820898,0.05,-41.64269373,12.34901321,0.175,0.225,0.247
142,2.615231517,0.528791673,0.463284573,39.8687314,-77.69407326,0.05,-40.33773209,19.58924706,0.175,0.225,0.247
143,2.62607729,0.5173195389999999,0.472389626,43.46996099,-64.34016382,0.05,-36.71434243,-4.904151719,0.175,0.225,0.247
144,3.155958303,0.91538153,0.718236269,119.0294551,-87.93290534,0.05,-25.11758718,-9.648204319,0.175,0.225,0.247
145,2.896696472,0.72479684,0.59209848,85.72909988,-64.08882344,0.05,-29.83841345,13.10600257,0.175,0.225,0.247
146,2.780277954,0.5543821729999999,0.587662448,77.29733815,-55.57810287,0.05,-13.05148342,52.8205224,0.175,0.225,0.247
147,2.734063737,0.5806855710000001,0.561670561,66.29275388,-51.21705423,0.05,-59.82632871,43.14927595,0.175,0.225,0.247
148,3.126121436,0.645957986,0.7107531979999999,74.86171289,-87.27703204,0.05,-39.19810238,2.075598881,0.175,0.225,0.247
149,3.096863739,0.573424686,0.562608225,73.01094066,-79.0699567,0.05,-35.10688402,-17.81631523,0.175,0.225,0.247
150,2.838273734,0.445799381,0.476540553,65.721264,-68.04089511,0.05,-26.03922279,-0.999728504,0.175,0.225,0.247
151,4.795421806,0.802888808,1.097353395,48.70068918,-223.2192236,0.05,-55.97456474,97.67338309,0.175,0.225,0.247
152,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
153,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
154,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
155,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
156,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
157,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
158,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
159,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
160,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
161,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
162,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
163,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
164,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
165,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
166,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
167,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
168,4.544411207,0.851362567,0.877345294,104.1706507,-350.9110851000001,0.05,-55.91579965,32.30239492,0.175,0.225,0.247
169,4.540920521,1.115899782,1.103238247,60.86898911,-176.431702,0.05,-72.15685968,72.17964972,0.175,0.225,0.187081591
170,4.994749354,1.142495653,1.209927894,32.19728815,-177.6475291,0.05,-28.27594279,75.49535979,0.175,0.225,0.1718118539999999
171,5.00853893,1.044739975,1.175278617,37.11967864,-148.49353440000004,0.05,21.42709181,93.35160958,0.175,0.225,0.16120882
172,4.714196028,0.951429738,1.135115362,50.8421888,-165.3325487,0.05,-1.0149649040000002,81.49598859,0.175,0.225,0.16796966
